first_name,last_name,age,gender,income,city,signup_date,last_purchase_date,days_since_last_purchase,customer_prefix,customer_num,gender_label,age_scl,income_scl,days_scl,age_minmax,Income_minmax,Days_minmax,recency_score,income_log,income_sqrt,income_power,income_bin,frequent_buyer
Calvin,Hill,56.0,Male,,Hillville,2025-01-22,2025-04-22,307,CUST,1000,1,0.7943734257132413,,-0.46894995290807084,0.7450980392156864,,0.3568807339449542,0.003246753246753247,,,,,0
Diana,Hall,69.0,Other,82592.63,Lake Stephen,2024-07-26,2024-10-24,487,CUST,1001,2,1.663329298836229,1.9826842084062184,0.10058645842350437,1.0,0.9232933442375105,0.5220183486238532,0.0020491803278688526,11.321687837891206,287.3893352231429,1.9075838830082592,Very High,0
Kimberly,Manning,46.0,Other,73442.2,New Jodifort,2026-02-05,2026-05-06,-72,CUST,1002,2,0.1259458310032509,1.3999791244166824,-1.6681405078784433,0.5490196078431373,0.7947634762789021,0.009174311926605505,-0.014084507042253521,11.204267597329846,271.0022140130962,1.3717638036518396,Very High,1
Samantha,Drake,32.0,Male,58334.6,Nashburgh,2024-07-30,2024-10-28,483,CUST,1003,1,-0.8098528015907357,0.4379177429427726,0.08793009372724715,0.27450980392156865,0.5825572921791965,0.5183486238532111,0.002066115702479339,10.973967820625479,241.52556800471456,0.4588120163205888,High,0
Kimberly,Sanchez,60.0,Female,81267.16,Lake Erikaburgh,2025-12-30,2026-03-30,-35,CUST,1004,0,1.0617444635972375,1.8982774529121476,-1.5510691344380636,0.823529411764706,0.9046753684611705,0.043119266055045874,-0.029411764705882353,11.305509582910169,285.0739553168616,1.8306746361262525,Very High,1
Elizabeth,Holmes,25.0,Male,70863.55,New Taylor,2024-02-08,2024-05-08,656,CUST,1005,1,-1.2777521178877291,1.2357690856720973,0.6353178668403722,0.13725490196078433,0.7585429331993458,0.6770642201834862,0.0015220700152207,11.168525587478536,266.202084890408,1.21859383404844,Very High,0
Ashley,King,38.0,Other,19886.48,Jerryborough,2025-02-13,2025-05-14,285,CUST,1006,2,-0.40879624476474147,-2.010482495498453,-0.5385599587374855,0.3921568627450981,0.04250269508848878,0.336697247706422,0.0034965034965034965,9.897845666988717,141.0194312851956,-2.122364166505031,Low,0
Douglas,Wolfe,56.0,Other,66011.84,Michealstad,2025-08-30,2025-11-28,87,CUST,1007,2,0.7943734257132413,0.9268091697946059,-1.1650500112022182,0.7450980392156864,0.6903942619704025,0.15504587155963304,0.011363636363636364,11.097604547541595,256.9276941086733,0.9275751063651323,Very High,1
Savannah,Warren,36.0,Female,60671.81,South Beckyhaven,2025-08-27,2025-11-25,90,CUST,1008,0,-0.5424817637067395,0.5867527320472389,-1.1555577376800255,0.3529411764705882,0.6153864917568709,0.1577981651376147,0.01098901098901099,11.01325093600026,246.31648341107828,0.6026601385495062,High,0
Jennifer,Jackson,40.0,Other,45659.33,Jackieborough,2023-09-28,2023-12-27,789,CUST,1009,2,-0.2751107258227434,-0.3692513485578498,1.056141992990925,0.43137254901960786,0.40451639361599145,0.7990825688073395,0.0012658227848101266,10.728985147390127,213.6804389737161,-0.3413601967159793,Medium,0
